YLR331C	Jumonji Interacting Protein
YDR297W	sphingosine hydroxylase
YDR298C	ATP synthase subunit 5|oligomycin sensitivity-conferring protein
YDR299W	involved in protein transport step at the Brefeldin A blocks
YDR300C	gamma-glutamyl kinase
YDR301W	150 kDa protein associated with polyadenylation factor 1 (PF I)|cleavage factor II (CF II) component
YDR302W	Glycosylphosphatidylinositol (GPI) assembly
YDR303C	Zinc cluster protein
YDR304C	cyclophilin D|peptidyl-prolyl cis-trans isomerase (PPIase)
YDR305C	Fhit homolog, member of the histidine triad superfamily of nucleotide binding-proteins
YDR305C	Fhit homolog, member of the histidine triad superfamily of nucleotide binding-proteins
YDR305C	Fhit homolog, member of the histidine triad superfamily of nucleotide binding-proteins
YDR305C	Fhit homolog, member of the histidine triad superfamily of nucleotide binding-proteins
YDR306C	Hypothetical ORF
YDR307W	Hypothetical ORF
YDR308C	RNA polymerase II holoenzyme/mediator subunit
YDR309C	Gtpase-interacting component 2
YDR267C	Protein required for cell viability
YDR268W	tryptophan-tRNA ligase
YDR269C	Hypothetical ORF
YDR270W	copper-transporting P-type ATPase with similarity to human Menkes and Wilsons genes
YDR271C	Hypothetical ORF
YDR272W	glyoxylase-II
YDR273W	prospore membrane localizing protein
YDR274C	Hypothetical ORF
YDR275W	Bypass of Stop Codon transcript encoded by this ORF shows a high level of stop codon bypass
YDR276C	hypothetical transmembrane protein
YDR277C	Msn3p homolog (61% identical)
YDR278C	Hypothetical ORF
YDR279W	Required for RNase H2 activity - one of three subunits
YDR280W	3'->5' exoribonuclease
YDR281C	Phosphate metabolism; transcription is regulated by PHO system
YDR282C	Hypothetical ORF
YDR283C	eukaryotic initiation factor 2 alpha (eIF2-alpha) kinase
YDR284C	diacylglycerol pyrophosphate phosphatase
YDR285W	Synaptonemal complex (SC) protein that connects homologous chromosomes partially during zygotene and entirely during pachytene
YDR286C	Hypothetical ORF
YDR287W	inositol monophosphatase
YDR288W	Protein required for cell viability
YDR244W	69 kDa protein containing tetratricopeptide repeat (TPR)
YDR245W	galactosyltransferase
YDR246W	Trapp subunit of 23 kDa
YDR247W	Gene whose overexpression suppresses the synthetic lethality of the hal3 sit4 double mutation
YDR248C	Hypothetical ORF
YDR249C	Hypothetical ORF
YDR250C	Hypothetical ORF
YDR251W	multicopy suppressor of protein phosphatase 2A
YDR252W	beta subunit of the nascent-polypeptide-associated complex (NAC); homologous to human BTF3b; Negative effect on expression of several genes transcribed by RNA polymerase II
YDR253C	highly homologous to Met31p|transcriptional regulator of sulfur amino acid metabolism|zinc finger protein
YDR254W	Protein necessary for stability of ARS-CEN plasmids; suggested to be required for kinetochore function
YDR255C	Required for Meiotic nuclear Division
YDR256C	catalase A
YDR257C	Transcription regulator
YDR258C	heat shock protein 78
YDR259C	bZIP protein
YDR260C	Spore Wall Maturation 1
YDR261C	exo-1,3-beta-glucanase
YDR262W	Hypothetical ORF
YDR263C	DNA-damage inducible gene
YDR264C	ankyrin repeat-containing protein
YDR265W	C3HC4 zinc-binding integral peroxisomal membrane protein
YDR266C	Hypothetical ORF
YDR221W	Hypothetical ORF
YDR222W	Hypothetical ORF
YDR223W	Hypothetical ORF
YDR224C	histone H2B (HTB1 and HTB2 code for nearly identical proteins)
YDR225W	histone H2A (HTA1 and HTA2 code for nearly identical proteins)
YDR226W	adenylate kinase
YDR227W	silencing regulator at HML, HMR, and telomeres
YDR228C	cleavage and polyadenylation factor CF I component involved in pre-mRNA 3'-end processing
YDR229W	Phospholipid-binding protein that interacts with Vpt7p and Vps33p
YDR230W	Hypothetical ORF
YDR231C	required for maturation and assembly of cytochrome oxidase subunit II
YDR232W	5-aminolevulinate synthase
YDR233C	reticulon gene member of the RTNLA (reticulon-like A) subfamily
YDR234W	homoaconitase
YDR235W	U1 snRNP protein|shares 50% sequence similarity with Prp39p U1 snRNP protein and has multiple copies of the crn-like TPR motif
YDR236C	riboflavin kinase
YDR237W	ribosomal protein (YmL7)
YDR238C	yeast coatomer subunit
YDR239C	Hypothetical ORF
YDR240C	U1 snRNP protein
YDR241W	
YDR242W	amidase (putative)
YDR243C	RNA helicase
YDR198C	Hypothetical ORF
YDR199W	Hypothetical ORF
YDR200C	
YDR201W	spindle pole component
YDR202C	Regulator of (H+)-ATPase in Vacuolar membrane
YDR203W	Hypothetical ORF
YDR204W	encodes component of the coenzyme Q biosynthetic pathway
YDR205W	Meiotic Sister-Chromatid recombination; transmembrane protein (putative) showing some protein similarity to Zrc1p and Cot1p
YDR206W	EST1-like bcy1 Suppressor
YDR207C	C6 zinc finger URS1-binding protein
YDR208W	phosphatidylinositol 4-phosphate kinase
YDR209C	Hypothetical ORF
YDR210W	Hypothetical ORF
YDR211W	translation initiation factor eIF-2B epsilon subunit
YDR212W	chaperonin subunit alpha
YDR213W	zinc finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type
YDR214W	Hsp90 system cochaperone; Aha1 binds to the middle domain of Hsp90 and improves client protein activation in vivo
YDR215C	Hypothetical ORF
YDR216W	positive transcriptional regulator
YDR217C	cell cycle arrest protein
YDR218C	Septin-related protein expressed during sporulation
YDR219C	Hypothetical ORF
YDR220C	Hypothetical ORF
YDR177W	ubiquitin-conjugating enzyme
YDR178W	succinate dehydrogenase membrane anchor subunit
YDR179C	COP9 signalosome (CSN) subunit
YDR179W-A	Hypothetical ORF
YDR180W	Sister chromatid cohesion protein
YDR181C	Involved in silencing at telomeres, HML and HMR
YDR182W	Protein that affects bud emergence, intrachromosomal recombination, and nuclear division
YDR183W	Phosducin-Like Protein
YDR184C	interacts with AIP3, localized to the nucleus
YDR185C	Hypothetical ORF
YDR186C	Hypothetical ORF
YDR187C	Protein required for cell viability
YDR188W	cytoplasmic chaperonin of the Cct ring complex (previously called TCP1 or TRiC), distantly related to Tcp1p and to Hsp60
YDR189W	t-SNARE-interacting protein that functions in ER-to-Golgi traffic
YDR190C	RUVB-like protein, TIP49a Homologue
YDR191W	Homolog of SIR2
YDR192C	42 kDa protein associated with nuclear pore complexes; structurally related to the FG-nucleoporin family of pore proteins|nuclear pore complex subunit
YDR193W	Hypothetical ORF
YDR194C	RNA helicase DEAD box
YDR195W	RNA End FormationRNA-binding protein involved in cleavage step of mRNA 3'-end formation, prior to polyadenylation
YDR196C	predicted to catalyze the final step in synthesis of Coenzyme A
YDR197W	cytochrome b translational activator
YDR154C	Hypothetical ORF
YDR155C	cyclophilin|peptidyl-prolyl cis-trans isomerase (PPIase)
YDR156W	RNA polymerase I subunit
YDR157W	Hypothetical ORF
YDR158W	aspartic beta semi-aldehyde dehydrogenase
YDR159W	A component of the nuclear pore that is involved in the nuclear export of both mRNA and protein
YDR160W	Ssy1p controls expression of several transporter genes, including BAP2, TAT1, PTR2 and YDR046c
YDR161W	interacts with PP2C
YDR162C	interacts with Nap1, which is involved in histone assembly
YDR163W	Complexed with Cef1p
YDR164C	SNARE docking complex subunit (putative)
YDR165W	Transfer RNA methyltransferase
YDR166C	exocyst complex 107 kDa component
YDR167W	TFIID subunit
YDR168W	cell cycle protein necessary for passage through START
YDR169C	binds Sin3p in two-hybrid assay
YDR170C	guanine nucleotide exchange protein for ARF
YDR171W	Similar to HSP26; expression is regulated by stress conditions
YDR172W	translation termination factor eRF3
YDR173C	dual specificity inositol 1,4,5-trisphosphate 6-kinase/inositol 1,4,5,6-tetrakisphosphate 3-kinase (IP3 6-/IP4 3-kinase)
YDR174W	high mobility group (HMG) family
YDR175C	mitochondrial ribosome small subunit component
YDR176W	genetic and mutant analyses suggest that Ngg1p (Ada3p) is part of two transcriptional adaptor/HAT (histone acetyltransferase complexes, the 0.8 MD ADA complex and the 1.8 MD SAGA complex|transcription factor
YDR133C	Hypothetical ORF
YDR133C	Hypothetical ORF
YDR135C	Metal resistance protein with similarity to human cystic fibrosis protein CFTR and multidrug resistance proteins
YDR136C	Vacuolar Protein Sorting
YDR137W	Ric1p-Rgp1p is an exchange factor, and peripheral membrane protein complex restricted to the Golgi.
YDR138W	Hyperrecombination protein that suppresses intrachromosomal excision recombination
YDR139C	ubiquitin-like protein
YDR139C	ubiquitin-like protein
YDR140W	Hypothetical ORF
YDR141C	homolog of Emericella nidulans developmental regulatory gene, dopey (dopA).
YDR142C	beta-transducin-related (WD-40) protein family
YDR143C	transcriptional regulator (putative)
YDR144C	aspartyl protease|related to Yap3p
YDR145W	TFIID subunit
YDR146C	transcriptional activator
YDR147W	ethanolamine kinase
YDR148C	alpha-ketoglutarate dehydrogenase complex dihydrolipoyl transsuccinylase component
YDR149C	Hypothetical ORF
YDR150W	contains variable number of tandem repeats of a 64 amino-acid polypeptide, potential Ca2+-binding site, and pleckstrin homology domain
YDR151C	CCCH zinc finger protein family that has two or more repeats of a novel zinc finger motif consisting of Cys and His residues in the form Cx8Cx5Cx3H [where x is a variable amino acid (aa)]
YDR152W	Genetically Interacts with ribosomal genes
YDR153C	Epsin N-Terminal homology-containing protein
YDR154C	Hypothetical ORF
YDR111C	Hypothetical ORF
YDR112W	Hypothetical ORF
YDR113C	42 kDa nuclear securin
YDR114C	Hypothetical ORF
YDR115W	Hypothetical ORF
YDR116C	Mitochondrial Ribosomal Protein, Large Subunit
YDR117C	Hypothetical ORF
YDR118W	anaphase promoting complex (APC) subunit
YDR119W	Hypothetical ORF
YDR120C	N2,N2-dimethylguanosine-specific tRNA methyltransferase
YDR121W	DNA polymerase II (epsilon) 4th subunit
YDR122W	Serine/threonine protein kinase
YDR123C	helix-loop-helix protein
YDR124W	Hypothetical ORF
YDR125C	ExtraCellular Mutant
YDR126W	Spore Wall Formation
YDR127W	3-dehydroquinate dehydratase (3-dehydroquinase)|3-dehydroquinate synthase|epsp synthase|pentafunctional arom polypeptide|shikimate 5-dehydrogenase|shikimate kinase
YDR128W	Hypothetical ORF
YDR129C	actin filament bundling protein|fimbrin homolog
YDR130C	cell cycle-dependent filament between nuclei
YDR131C	Hypothetical ORF
YDR132C	Hypothetical ORF
YDR089W	Hypothetical ORF
YDR090C	Hypothetical ORF
YDR091C	ATP-binding cassette (ABC) superfamily nontransporter group (putative)
YDR092W	ubiquitin-conjugating enzyme
YDR093W	Potential aminophospholipid translocase
YDR093W	Potential aminophospholipid translocase
YDR094W	Hypothetical ORF
YDR095C	Hypothetical ORF
YDR096W	zinc finger protein (putative)
YDR097C	human GTBP protein homolog
YDR098C	glutaredoxin
YDR099W	member of conserved eukaryotic 14-3-3 gene family
YDR100W	integral membrane protein
YDR101C	
YDR102C	Hypothetical ORF
YDR103W	Protein of the pheromone pathway
YDR104C	Product of gene unknown
YDR105C	Putative membrane protein, conserved in mammals
YDR106W	actin-related protein
YDR107C	multispanning membrane protein
YDR108W	Probably has role late in meiosis following DNA replication
YDR109C	Hypothetical ORF
YDR110W	DNA replication fork blocking protein
YDR067C	Hypothetical ORF
YDR068W	Product of gene unknown
YDR069C	ubiquitin isopeptidase
YDR070C	Hypothetical ORF
YDR071C	Hypothetical ORF
YDR072C	inositolphosphotransferase 1
YDR073W	SWI/SNF global transcription activator complex component
YDR074W	trehalose-6-phosphate phosphatase
YDR075W	protein phosphatase type 2A
YDR076W	RecA homolog|interacts with Rad51p and Rad57p by two-hybrid analysis|similar to DMC1, RAD51, RAD57
YDR077W	cell surface glycoprotein (putative)
YDR078C	Suppressor of hydroxy-urea sensitivity
YDR079W	cytochrome c oxidase-specific assembly factor
YDR080W	vacuolar protein sorting
YDR081C	asparagine and serine-rich protein
YDR082W	involved in telomere length regulation, function in telomere metabolism during late S phase
YDR083W	nucleolar protein required for efficient processing of pre-rRNA at site A2; methyltransferase homolog
YDR084C	integral membrane protein
YDR085C	cytoskeletal protein|similar to arrestins
YDR086C	ER protein|Sec61 trimeric complex component|Ssh1 trimeric complex component
YDR087C	involved in processing rRNA precursor species to mature rRNAs
YDR088C	Involved in 3' splice site choices and acts in concert with Prp18 during the 2nd step of splicing.
YDR044W	coproporphyrinogen III oxidase
YDR045C	TFIIS-like small Pol III subunit C11
YDR046C	valine transporter
YDR047W	uroporphyrinogen decarboxylase
YDR048C	Hypothetical ORF
YDR049W	Hypothetical ORF
YDR050C	triosephosphate isomerase
YDR051C	Hypothetical ORF
YDR052C	Cdc7p-Dbf4p kinase complex regulatory subunit
YDR053W	Protein required for cell viability
YDR054C	ubiquitin-conjugating enzyme
YDR055W	the gene product has been detected among the proteins secreted by regenerating protoplasts
YDR056C	Hypothetical ORF
YDR057W	membrane-associated glycoprotein
YDR058C	triglyceride lipase
YDR059C	ubiquitin-conjugating enzyme
YDR060W	essential for 60s ribosome biogenesis; involved in nuclear export of pre-ribosomes
YDR061W	Hypothetical ORF
YDR062W	serine palmitoyltransferase component
YDR063W	Hypothetical ORF
YDR064W	ribosomal protein S13 (S27a) (YS15)
YDR065W	Hypothetical ORF
YDR066C	Hypothetical ORF
YDR021W	RNA helicase (putative)|dead box protein
YDR022C	Involved in microtubule assembly
YDR023W	serine-tRNA ligase
YDR024W	Function required for Yeast Viability on toxin exposure
YDR026C	Hypothetical ORF
YDR027C	Loss Upsets Vacuole. Isolated in a microtubule complex containing Rbl2p.
YDR028C	Glc7p regulatory subunit
YDR029W	Hypothetical ORF
YDR030C	Protein involved in the same pathway as Rad26p, has beta-transducin (WD-40) repeats
YDR031W	Hypothetical ORF
YDR032C	Protoplasts-SecreTed protein; the gene product was detected among the proteins secreted by regenerating protoplasts
YDR033W	Membrane protein related to Hsp30p; Localized by immunofluorescence to membranes, mainly the plasma membr. punctuate immunofluorescence pattern observed in buds. The nuclear envelope, but not vacuole or mitochondrial membranes also stained
YDR034C	Transcriptional activator of lysine pathway genes with 2-aminoadipate semialdehyde as co-inducer; saccharopine reductase synthesis
YDR034W-B	Similar to probable membrane protein YDR210W and others; Similar to YBR016W
YDR035W	DAHP synthase; a.k.a. phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited; phospho-2-keto-3-deoxyheptonate aldolase; 2-dehydro-3-deoxyphosphoheptonate aldolase; 3-deoxy-D-arabine-heptulosonate-7-phosphate synthase
YDR036C	3-hydroxyisobutyryl-CoA hydrolase with similarity to enzymes involved in fatty a cid beta-oxidation
YDR037W	lysine-tRNA ligase
YDR038C	Na+ ATPase
YDR038C	Na+ ATPase
YDR039C	P-type ATPase Na+ pump|plasma membrane ATPase|plasma membrane protein
YDR041W	mitochondrial ribosome small subunit component
YDR042C	Hypothetical ORF
YDR043C	binds to UAS-1 in the STA1 promoter and can interact with Ssn6p|transcriptional repressor
YDL003W	Mitotic Chromosome Determinant; similar to S. pombe RAD21; may function in chromosome morphogenesis from S phase through mitosis
YDL002C	HMG1-box containing protein
YDL001W	Required for Meiotic Division
YDR001C	neutral trehalase
YDR002W	Yeast Ran Binder #1; suppressor of FUS1; homolog of mouse HTF9a and human RanBP1
YDR003W	Hypothetical ORF
YDR004W	RecA homolog|interacts with Rad 55p by two-hybrid analysis|similar to DMC1, RAD51, and RAD55
YDR005C	Mod5 protein sorting. Negative effector of Pol III synthesis.
YDR006C	gene dosage suppressors of the conditional growth defect of several temperature-sensitive A kinase mutants
YDR007W	N-(5'-phosphoribosyl)-anthranilate isomerase
YDR008C	Hypothetical ORF
YDR009W	Involved in galactose induction of GAL genes
YDR010C	Hypothetical ORF
YDR011W	ABC transporter
YDR012W	ribosomal protein L4B (L2B) (rp2) (YL2)
YDR013W	a subunit of the GINS complex required for chromosomal DNA replication
YDR014W	Affects radiation sensitivity
YDR015C	Hypothetical ORF
YDR016C	Duo1 And Dam1 interacting; localized to intranuclear spindles and spindle pole bodies
YDR017C	Inositol polyphosphate kinase
YDR018C	Hypothetical ORF
YDR019C	glycine decarboxylase complex T subunit
YDR020C	Hypothetical ORF
YDL025C	Hypothetical ORF
YDL024C	involved in invasive and pseudohyphal growth
YDL023C	Hypothetical ORF
YDL022W	glycerol-3-phosphate dehydrogenase
YDL021W	Similar to GPM1 (phosphoglycerate mutase); converts 3-phosphoglycerate to 2-phosphoglycerate in glycolysis
YDL020C	Involved in ubiquitin degradation pathway. May act as common transcription factor on proteasomal and proteasome-related genes.
YDL019C	Oxysterol Binding Protein
YDL018C	p24 protein involved in membrane trafficking
YDL017W	Cdc7p-Dbf4p kinase complex catalytic subunit
YDL016C	Protein required for cell viability
YDL015C	ER protein involved in very long chain fatty acid synthesis
YDL014W	U3 snoRNP protein|similar to mammalian fibrillarin
YDL013W	Protein involved in hexose metabolism
YDL012C	Hypothetical ORF
YDL011C	Hypothetical ORF
YDL010W	Hypothetical ORF
YDL009C	Hypothetical ORF
YDL008W	anaphase promoting complex (APC) subunit
YDL007W	one of the ATPase subunits of the proteasome
YDL006W	serine-threonine protein phosphatase
YDL005C	RNA polymerase II holoenzyme/mediator subunit
YDL004W	ATP synthase delta subunit
YDL047W	type 2A-related protein phosphatase
YDL046W	Putative homologue of human NPC2/He1
YDL045W-A	Yml37p homolog|mitochondrial ribosome 37 S subunit component
YDL045C	FAD synthetase
YDL044C	Necessary for the stability and/or processing of some large mitochondrial transcripts
YDL043C	snRNA-associated protein
YDL042C	nuclear NAD-dependent deacetylase
YDL041W	Hypothetical ORF
YDL040C	N-terminal acetyltransferase
YDL039C	pheromone-regulated membrane protein
YDL038C	Hypothetical ORF
YDL037C	Bypass of Stop Codon transcript encoded by this ORF shows a high level of stop codon bypass
YDL036C	Hypothetical ORF
YDL035C	G-protein-coupled receptor at plasma membrane; interactions in two-hybrid system with Gpa2p
YDL034W	Hypothetical ORF
YDL033C	Hypothetical ORF
YDL032W	Hypothetical ORF
YDL031W	Dead box protein 10
YDL030W	RNA splicing factor
YDL029W	actin related protein
YDL028C	Required for spindle pole body duplication and a mitotic checkpoint function.
YDL027C	Hypothetical ORF
YDL026W	Hypothetical ORF
YDL071C	Hypothetical ORF
YDL070W	BDF1 homolog|bromodomain protein
YDL069C	translational activator of cytochrome B
YDL068W	Hypothetical ORF
YDL067C	cytochrome c oxidase subunit VIIa
YDL066W	NADP-dependent isocitrate dehydrogenase
YDL065C	40 kDa farnesylated protein associated with peroxisomes
YDL064W	SUMO-conjugating enzyme
YDL063C	Hypothetical ORF
YDL062W	Hypothetical ORF
YDL061C	ribosomal protein S29B (S36B) (YS29)
YDL060W	Twenty S rRNA accumulation
YDL059C	the RAD59 gene product has homology to the Rad52 protein
YDL058W	integrin analogue gene
YDL057W	Hypothetical ORF
YDL056W	transcription factor
YDL055C	GDP-mannose pyrophosphorylase|mannose-1-phosphate guanyltransferase
YDL054C	Monocarboxylate Permease Homologue
YDL053C	Hypothetical ORF
YDL052C	1-acyl-sn-gylcerol-3-phosphate acyl transferase (putative)
YDL051W	Protein homologous to human La (SS-B) autoantigen
YDL050C	Hypothetical ORF
YDL049C	KRE9 homolog
YDL091C	Hypothetical ORF
YDL090C	farnesyltransferase beta subunit
YDL089W	Hypothetical ORF
YDL088C	nuclear pore complex subunit
YDL087C	Living Under Cap-binding complex expression
YDL086W	Hypothetical ORF
YDL085W	Hypothetical ORF
YDL084W	ATP-dependent RNA helicase
YDL083C	ribosomal protein S16B (rp61R)
YDL083C	ribosomal protein S16B (rp61R)
YDL082W	ribosomal protein L13A
YDL081C	acidic ribosomal protein P1A (YP1alpha) (A1)
YDL080C	alpha-ketoisocaproate decarboxylase
YDL079C	MDS1 related protein kinase
YDL079C	MDS1 related protein kinase
YDL078C	malate dehydrogenase
YDL077C	Required for the vacuolar morphogenesis in yeast
YDL076C	Hypothetical ORF
YDL075W	ribosomal protein L31A (L34A) (YL28)
YDL075W	ribosomal protein L31A (L34A) (YL28)
YDL074C	putative coiled-coil protein with RING-finger and myosin-like domains
YDL073W	Hypothetical ORF
YDL072C	Hypothetical ORF
YDL113C	PX domain-containing protein that binds Apg17 and Cvt13, and is required for import of precursor Ape1.
YDL112W	tRNA (Gm18) ribose methylase
YDL111C	exosome 3->5 exoribonuclease complex component with Rrp4p, Rrp41p, Rrp43p and Dis3p (Rrp44p)
YDL110C	Hypothetical ORF
YDL109C	Hypothetical ORF
YDL108W	serine-threonine kinase, subunit of transcription factor TFIIK, a subcomplex of TFIIH
YDL107W	cox2 pre-mRNA splicing factor
YDL106C	homeobox transcription factor|positive regulator of PHO5 and other genes
YDL105W	Product of gene unknown
YDL104C	similar to H.influenzae sialoglycoprotease
YDL103C	UDP-N-acetylglucosamine pyrophosphorylase
YDL102W	DNA polymerase III catalytic (delta) subunit
YDL101C	protein kinase
YDL100C	provides low levels of resistance to arsenicals
YDL099W	Hypothetical ORF
YDL098C	RNA binding zinc finger protein (putative)
YDL097C	proteasome regulatory particle subunit
YDL096C	Hypothetical ORF
YDL095W	dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase
YDL094C	Hypothetical ORF
YDL093W	dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase
YDL092W	Signal recognition particle subunit
YDL133W	Hypothetical ORF
YDL132W	acts together with Cdc4p and Cdc34p to control the G1-S phase transition, assists in mediating the proteolysis of the Cdk inhibitor Sic1p in late G1
YDL131W	YDL182W (LYS20) homolog|homocitrate synthase
YDL130W-A	ATPase stabilizing factor
YDL130W	ribosomal protein P1B (L44') (YP1beta) (Ax)
YDL130W	ribosomal protein P1B (L44') (YP1beta) (Ax)
YDL129W	Hypothetical ORF
YDL128W	vacuolar H+/Ca2+ exchanger
YDL127W	G1 cyclin
YDL126C	Microsomal protein of CDC48/PAS1/SEC18 family of ATPases; full length homology to mammalian protein VCP; involved in secretion, peroxisome formation and gene expression
YDL125C	Hint homolog, member of the histidine triad superfamily of nucleotide-binding proteins
YDL125C	Hint homolog, member of the histidine triad superfamily of nucleotide-binding proteins
YDL124W	Hypothetical ORF
YDL123W	Homology to PMP3/SNA1 (Sensitivity to Na+)
YDL122W	ubiquitin-specific protease
YDL121C	Hypothetical ORF
YDL120W	Yeast Frataxin Homologue
YDL119C	Hypothetical ORF
YDL118W	Hypothetical ORF
YDL117W	involved in CYtoKinesis
YDL116W	nuclear pore complex subunit|similar to mammalian Nup107p
YDL115C	Interacts with RNA Polymerase II
YDL114W	Hypothetical ORF
YDL157C	Hypothetical ORF
YDL156W	Hypothetical ORF
YDL155W	B-type cyclin
YDL154W	mutS homolog
YDL153C	U3 snoRNP protein
YDL152W	Protein required for cell viability
YDL151C	Function required for yeast viability on toxin exposure; random budding in diploid null mutants
YDL150W	RNA polymerase III subunit
YDL149W	integral membrane protein
YDL148C	U3 snoRNP protein
YDL147W	proteasome regulatory particle subunit
YDL146W	Hypothetical ORF
YDL145C	coatomer complex gamma-alpha-COP alpha subunit
YDL144C	Hypothetical ORF
YDL143W	subunit of the TRiC/CCT complex; cytoplasmic chaperonin subunit required for actin cytoskeleton assembly or function.
YDL142C	cardiolipin synthase
YDL141W	biotin:apoprotein ligase
YDL140C	RNA polymerase II core subunit
YDL139C	Suppressor of chromosome missegregation
YDL138W	glucose receptor
YDL137W	ADP-ribosylation factor 2
YDL135C	Rho GDP dissociation inhibitor with activity toward Rho1p
YDL134C	serine-threonine protein phosphatase 2A
YDL179W	PHO85 cyclin
YDL178W	D-lactate dehydrogenase, located in mitochondrial matrix
YDL177C	Hypothetical ORF
YDL176W	Hypothetical ORF
YDL175C	arginine methyltransferase-interacting RING finger protein
YDL174C	D-lactate ferricytochrome c oxidoreductase
YDL173W	Hypothetical ORF
YDL172C	Hypothetical ORF
YDL171C	glutamate synthase (NADH)
YDL170W	zinc finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type
YDL169C	Product of gene unknown
YDL168W	glutathione-dependent formaldehyde dehydrogenase|long-chain alcohol dehydrogenase
YDL167C	asparagine-rich protein
YDL166C	Nuclear protein involved in oxidative stress response
YDL165W	basal transcription inhibitor|transcriptional regulator
YDL164C	DNA ligase
YDL163W	Protein required for cell viability
YDL162C	Hypothetical ORF
YDL161W	epsin N-terminal homology-containing protein
YDL160C	Putative RNA helicase of DEAD box family
YDL159W	MAP kinase kinase (MEK)
YDL158C	Hypothetical ORF
YDL200C	6-O-methylguanine-DNA methylase
YDL199C	Hypothetical ORF
YDL198C	high copy suppressor of abf2 lacking the HMG1-like mitochondrial HM protein; putative mitochondrial carrier protein
YDL197C	anti-silencing protein that causes depression of silent loci when overexpressed
YDL196W	Protein required for cell viability
YDL195W	COPII coat of secretory pathway vesicles component (p150)
YDL194W	glucose sensor
YDL193W	Protein required for cell viability
YDL192W	ADP-ribosylation factor
YDL191W	ribosomal protein L35A
YDL190C	ubiquitin conjugating factor e4
YDL189W	R3H-domain protein
YDL189W	R3H-domain protein
YDL188C	serine-threonine protein phosphatase 2A
YDL187C	Hypothetical ORF
YDL186W	Hypothetical ORF
YDL185W	site-specific endonuclease VDE (PI-SceI)|vacuolar ATPase V1 domain subunit A (69 kDa)|protein with three regions (ABC) that are spliced to yield the extein AC and the intein B; AC is a 69K vacuolar (H+)-ATPase, and B is a 50K site-specfic endonuclease named VDE (PI-SceI) that is homologous to HO. Cleavage is meiosis-specific and induces ge
YDL184C	ribosomal protein L41A (YL41) (L47A)
YDL183C	Hypothetical ORF
YDL182W	YDL131W (LYS21) homolog|homocitrate synthase
YDL182W	YDL131W (LYS21) homolog|homocitrate synthase
YDL181W	ATPase inhibitor
YDL180W	Hypothetical ORF
YDL221W	Protein required for cell viability
YDL220C	single-stranded TG1-3 telomere G-tails binding protein
YDL219W	D-Tyr-tRNA(Tyr) deacylase
YDL219W	D-Tyr-tRNA(Tyr) deacylase
YDL218W	Hypothetical ORF
YDL217C	Mitochondrial inner membrane protein involved in import of proteins of the ADP/ATP carrier (AAC) family
YDL216C	COP9 signalosome (CSN) subunit
YDL215C	NAD-dependent glutamate dehydrogenase
YDL214C	protein kinase
YDL213C	Hypothetical ORF
YDL212W	ER integral membrane component
YDL211C	Hypothetical ORF
YDL210W	GABA-specific transport protein
YDL209C	Complexed with Cef1p
YDL208W	HMG-like protein
YDL207W	nuclear pore complex subunit|nuclear-export-signal (NES)-containing protein
YDL206W	Hypothetical ORF
YDL205C	phorphobilinogen deaminase (uroporphyrinogen synthase)
YDL204W	reticulon gene member of the RTNLA (reticulon-like A) subfamily
YDL203C	Hypothetical ORF
YDL202W	ribosomal protein (YmL11)
YDL201W	Transfer RNA methyltransferase
YDL247W	alpha-glucoside permease
YDL243C	aryl-alcohol dehydrogenase (putative)
YDL242W	Hypothetical ORF
YDL241W	Hypothetical ORF
YDL240W	similar to LIM-domain proteins and to rho/rac GTPase-activating family of proteins
YDL239C	Accumulation of DYads. Mediates assembly of the Don1p-containing structure at the leading edge of the prospore membrane via interaction with components of the spindle pole body.
YDL238C	Hypothetical ORF
YDL237W	Hypothetical ORF
YDL236W	p-nitrophenyl phosphatase
YDL235C	two-component phosphorelay intermediate
YDL234C	GTPase activating protein (GAP)
YDL233W	Hypothetical ORF
YDL232W	3.6 kDa protein
YDL231C	contains several putative trans-membrane domains
YDL230W	phosphotyrosine-specific protein phosphatase
YDL228C	Hypothetical ORF
YDL227C	homothallic switching endonuclease
YDL226C	ADP-ribosylation factor GTPase-activating protein (ARF GAP)
YDL225W	Interacts with Spa2p and plays a role in cytokinesis
YDL224C	RNA binding protein (putative)|WHI3 homolog
YDL223C	Hub1 target
YDL222C	Cell cortex protein
YCL075W	Psuedogene: encodes fragment of Ty Pol protein
YCR018C-A	Similar to probable membrane protein YLR334C and ORF YOL106W
YCR020W-B	High-Temperature Lethal
YCR097W-A	Hypothetical ORF identified by homology. See FEBS Letters [2000] 487:31-36. (ChrIII)
YCR102W-A	Similar to several yeast probable membrane proteins, including YNR075W and YFL062W
YCL057c-a	Hypothetical ORF, has similarity to proteins in S. pombe, C. elegans, D. melanogaster.
YCL057c-a	Hypothetical ORF, has similarity to proteins in S. pombe, C. elegans, D. melanogaster.
YCR068W-A	
YCL024W	S. pombe Nim1 homolog|protein kinase
YCL008C	putative ubiquitin receptor
YCL008C	putative ubiquitin receptor
